InvoiceDate,StockCode,Quantity,UnitPrice,Week,Weekday,Day,TotalPrice
2023-10-01,3378,,,40,6,1,
2023-10-01,25589,1,59.5,40,6,1,59.5
2023-10-01,25617,,,40,6,1,
2023-10-01,25725,,,40,6,1,
2023-10-01,25767,7,270.13,40,6,1,38.59
2023-10-01,25801,2,48.2,40,6,1,24.1
2023-10-01,25922,1,81.2,40,6,1,81.2
2023-10-01,25928,1,26.2,40,6,1,26.2
2023-10-01,33222,8,450.4,40,6,1,56.3
2023-10-01,34674,,,40,6,1,
2023-10-01,37383,,,40,6,1,
2023-10-01,44424,,,40,6,1,
2023-10-01,48862,,,40,6,1,
2023-10-01,53487,1,39.99,40,6,1,39.99
2023-10-01,53605,1,36.3,40,6,1,36.3
2023-10-01,61615,1,27.5,40,6,1,27.5
2023-10-01,61618,,,40,6,1,
2023-10-01,66305,,,40,6,1,
2023-10-01,66473,,,40,6,1,
2023-10-01,68132,4,102,40,6,1,25.5
2023-10-01,97785,,,40,6,1,
2023-10-01,97795,1,36,40,6,1,36
2023-10-01,2171,,,40,6,1,
2023-10-01,2266,,,40,6,1,
2023-10-01,2501,,,40,6,1,
2023-10-01,25605,,,40,6,1,
2023-10-01,25741,2,100.6,40,6,1,50.3
2023-10-01,25851,,,40,6,1,
2023-10-01,25882,1,29.1,40,6,1,29.1
2023-10-01,25901,,,40,6,1,
2023-10-01,25913,4,119.6,40,6,1,29.9
2023-10-01,25915,,,40,6,1,
2023-10-01,25926,,,40,6,1,
2023-10-01,25931,1,25.54,40,6,1,25.54
2023-10-01,25936,,,40,6,1,
2023-10-01,29099,5,104,40,6,1,20.8
2023-10-01,31299,,,40,6,1,
2023-10-01,33221,2,55,40,6,1,27.5
2023-10-01,37376,,,40,6,1,
2023-10-01,44423,,,40,6,1,
2023-10-01,47369,,,40,6,1,
2023-10-01,52425,2,60.4,40,6,1,30.2
2023-10-01,53486,1,51.9,40,6,1,51.9
2023-10-01,59931,,,40,6,1,
2023-10-01,61117,,,40,6,1,
2023-10-01,61126,,,40,6,1,
2023-10-01,61179,,,40,6,1,
2023-10-01,61255,3,173.7,40,6,1,57.9
2023-10-01,62788,,,40,6,1,
2023-10-01,62806,,,40,6,1,
2023-10-01,69087,,,40,6,1,
2023-10-01,95548,,,40,6,1,
2023-10-01,97134,,,40,6,1,
2023-10-01,97135,,,40,6,1,
2023-10-01,101209,,,40,6,1,
2023-10-01,25590,,,40,6,1,
2023-10-01,25606,2,49.98,40,6,1,24.99
2023-10-01,25619,,,40,6,1,
2023-10-01,25620,,,40,6,1,
2023-10-01,25879,,,40,6,1,
2023-10-01,25883,,,40,6,1,
2023-10-01,25899,,,40,6,1,
2023-10-01,25914,,,40,6,1,
2023-10-01,25925,,,40,6,1,
2023-10-01,27285,,,40,6,1,
2023-10-01,27289,,,40,6,1,
2023-10-01,29594,6,163.2,40,6,1,27.2
2023-10-01,31301,,,40,6,1,
2023-10-01,31745,2,86.6,40,6,1,43.3
2023-10-01,32347,,,40,6,1,
2023-10-01,33224,1,34.9,40,6,1,34.9
2023-10-01,37270,3,68.7,40,6,1,22.9
2023-10-01,44425,,,40,6,1,
2023-10-01,47368,,,40,6,1,
2023-10-01,47372,,,40,6,1,
2023-10-01,48845,,,40,6,1,
2023-10-01,48860,,,40,6,1,
2023-10-01,48868,1,35.99,40,6,1,35.99
2023-10-01,52615,1,34.5,40,6,1,34.5
2023-10-01,61157,,,40,6,1,
2023-10-01,61161,,,40,6,1,
2023-10-01,61278,1,71.4,40,6,1,71.4
2023-10-01,61279,2,54.2,40,6,1,27.1
2023-10-01,67245,3,201,40,6,1,67
2023-10-01,67945,,,40,6,1,
2023-10-01,69088,,,40,6,1,
2023-10-01,98466,5,93,40,6,1,18.6
2023-10-01,2173,,,40,6,1,
