InvoiceDate,MagCode,StockCode,Quantity,UnitPrice,Week,Weekday,Day,TotalPrice,Ost,Action,Category,Price,Discount
2024-01-01,4,4065,,,1,,1,,2.00,,22285,60.10,
2024-01-01,4,22361,,,1,,1,,4.00,,22285,151.20,
2024-01-01,4,29506,1.00,63.20,1,,1,63.20,1.00,,22285,63.20,
2024-01-01,4,41550,,,1,,1,,3.00,,22285,62.60,
2024-01-01,4,104644,,,1,,1,,5.00,,22285,66.90,
2024-01-01,4,104645,,,1,,1,,13.00,,22285,78.30,
2024-01-01,4,106211,,,1,,1,,4.00,,22285,67.90,
2024-01-01,4,22325,,,1,,1,,18.00,,22285,41.50,
2024-01-01,4,22359,,,1,,1,,11.00,,22285,40.90,
2024-01-01,4,33266,,,1,,1,,6.00,1,22285,67.99,11.11
2024-01-01,4,41554,,,1,,1,,5.00,1,22285,65.99,
2024-01-01,4,71584,,,1,,1,,6.00,,22285,76.40,
2024-01-01,4,100599,,,1,,1,,23.00,,22285,75.00,
2024-01-01,4,103638,,,1,,1,,7.00,,22285,77.40,
2024-01-01,4,106091,,,1,,1,,12.00,,22285,82.20,
2024-01-01,4,43698,,,1,,1,,9.00,,22285,71.30,
2024-01-01,4,43807,,,1,,1,,13.00,1,22285,56.99,7.11
2024-01-01,4,44232,,,1,,1,,4.00,,22285,68.60,
2024-01-01,4,44327,,,1,,1,,14.00,,22285,85.70,
2024-01-01,4,103164,,,1,,1,,8.00,,22285,72.20,
2024-01-01,4,103386,2.00,131.98,1,,1,65.99,6.00,1,22285,65.99,
2024-01-01,4,4067,,,1,,1,,9.00,1,22285,65.99,12.41
2024-01-01,4,33267,,,1,,1,,3.00,,22285,85.00,
2024-01-01,4,106210,,,1,,1,,11.00,1,22285,63.99,
2024-01-01,10,4065,,,1,,1,,8.00,,22285,60.10,
2024-01-01,10,32315,,,1,,1,,4.20,,22285,369.60,
2024-01-01,10,43807,1.00,56.99,1,,1,56.99,4.00,1,22285,56.99,7.11
2024-01-01,10,44232,,,1,,1,,3.00,,22285,68.60,
2024-01-01,10,4067,1.00,65.99,1,,1,65.99,4.00,1,22285,65.99,12.41
2024-01-01,10,22325,,,1,,1,,5.00,,22285,41.50,
2024-01-01,10,41554,,,1,,1,,6.00,1,22285,65.99,
2024-01-01,10,70910,,,1,,1,,3.00,,22285,67.00,
2024-01-01,10,103164,,,1,,1,,14.00,,22285,72.20,
2024-01-01,10,22359,,,1,,1,,14.00,,22285,39.00,
2024-01-01,10,33137,,,1,,1,,5.00,,22285,77.10,
2024-01-01,10,71584,,,1,,1,,7.00,,22285,76.40,
2024-01-01,10,100345,,,1,,1,,1.00,,22285,66.00,
2024-01-01,10,100599,1.00,75.00,1,,1,75.00,12.00,,22285,75.00,
2024-01-01,10,106091,,,1,,1,,7.00,,22285,82.20,
2024-01-01,10,22361,1.00,151.20,1,,1,151.20,4.00,,22285,151.20,
2024-01-01,10,29506,,,1,,1,,7.00,,22285,63.20,
2024-01-01,10,41550,,,1,,1,,8.00,,22285,62.60,
2024-01-01,10,71585,,,1,,1,,7.00,,22285,68.40,
2024-01-01,10,103638,,,1,,1,,1.00,1,22285,68.99,
2024-01-01,10,104644,,,1,,1,,13.00,,22285,70.20,
2024-01-01,10,104645,,,1,,1,,4.00,,22285,78.30,
