InvoiceDate,StockCode,Quantity,UnitPrice,Week,Weekday,Day,TotalPrice,Ost,Action,Category,Price,Discount
2022-02-01,43766,3.00,103.50,6,1,1,34.50,3.00,,22137,34.50,
2022-02-01,103386,3.00,165.00,6,1,1,55.00,9.00,,22285,55.00,
2022-02-01,43765,2.00,75.40,6,1,1,37.70,2.00,,22137,29.99,
2022-02-01,22204,9.00,147.60,6,1,1,16.40,-1.00,,22137,16.40,
2022-02-01,43764,2.00,73.00,6,1,1,36.50,-1.00,,22137,29.49,
2022-02-02,43765,5.00,171.10,6,2,2,34.22,3.00,1,22137,31.90,
2022-02-02,43764,,,6,2,2,,3.00,,22137,29.49,
2022-02-02,22204,4.00,65.60,6,2,2,16.40,5.00,,22137,16.40,
2022-02-02,43766,2.00,69.00,6,2,2,34.50,5.00,,22137,34.50,
2022-02-02,103386,,,6,2,2,,9.00,,22285,55.00,
2022-02-03,43764,,,6,3,3,,5.00,,22137,29.49,
2022-02-03,43766,7.00,241.50,6,3,3,34.50,,,22137,34.50,
2022-02-03,22204,8.00,131.20,6,3,3,16.40,3.00,,22137,16.40,
2022-02-03,43765,2.00,63.80,6,3,3,31.90,5.00,1,22137,31.90,
2022-02-03,103386,5.00,275.00,6,3,3,55.00,4.00,,22285,55.00,
2022-02-04,103386,1.00,55.00,6,4,4,55.00,3.00,,22285,55.00,
2022-02-04,22204,3.00,47.74,6,4,4,15.91,,,22137,16.40,
2022-02-04,43764,,,6,4,4,,5.00,,22137,29.49,
2022-02-04,43765,6.00,191.40,6,4,4,31.90,5.00,1,22137,31.90,
2022-02-05,22204,7.00,114.80,6,5,5,16.40,3.00,,22137,16.40,
2022-02-05,43765,5.00,132.96,6,5,5,26.59,6.00,1,22137,31.90,
2022-02-05,43766,3.00,89.00,6,5,5,29.67,3.00,,22137,34.50,
2022-02-05,43764,2.00,73.00,6,5,5,36.50,3.00,,22137,29.49,
2022-02-05,103386,5.00,272.18,6,5,5,54.44,8.00,,22285,55.00,
2022-02-06,22204,4.00,65.60,6,6,6,16.40,-1.00,,22137,16.40,
2022-02-06,43765,5.00,159.50,6,6,6,31.90,1.00,1,22137,31.90,
2022-02-06,103386,2.00,110.00,6,6,6,55.00,6.00,,22285,55.00,
2022-02-06,43766,3.00,100.86,6,6,6,33.62,,,22137,34.50,
2022-02-06,43764,1.00,36.50,6,6,6,36.50,2.00,,22137,29.49,
2022-02-07,43764,,,7,,7,,6.00,,22137,29.49,
2022-02-07,43766,1.00,34.50,7,,7,34.50,2.00,,22137,34.50,
2022-02-07,103386,,,7,,7,,6.00,,22285,55.00,
2022-02-07,22204,2.00,32.80,7,,7,16.40,8.00,,22137,16.40,
2022-02-07,43765,4.00,127.60,7,,7,31.90,2.00,1,22137,31.90,
2022-02-08,43766,,,7,1,8,,5.00,,22137,34.50,
2022-02-08,103386,2.00,110.00,7,1,8,55.00,10.00,,22285,55.00,
2022-02-08,22204,5.00,82.00,7,1,8,16.40,8.00,,22137,16.40,
2022-02-08,43764,,,7,1,8,,6.00,,22137,29.49,
2022-02-08,43765,2.00,63.69,7,1,8,31.85,8.00,1,22137,31.90,
2022-02-09,43764,1.00,36.50,7,2,9,36.50,5.00,,22137,29.49,
2022-02-09,43765,3.00,95.41,7,2,9,31.80,11.00,1,22137,31.90,
2022-02-09,22204,4.00,65.60,7,2,9,16.40,7.00,,22137,16.40,
2022-02-09,43766,3.00,103.50,7,2,9,34.50,2.00,,22137,34.50,
2022-02-09,103386,5.00,275.00,7,2,9,55.00,5.00,,22285,55.00,
2022-02-10,22204,5.00,82.00,7,3,10,16.40,7.00,,22137,16.40,
2022-02-10,43764,,,7,3,10,,5.00,,22137,29.49,
2022-02-10,43766,2.00,54.83,7,3,10,27.42,,,22137,34.50,
2022-02-10,103386,4.00,220.00,7,3,10,55.00,1.00,,22285,55.00,
2022-02-10,43765,6.00,191.40,7,3,10,31.90,11.00,1,22137,31.90,
2022-02-11,43765,3.00,95.70,7,4,11,31.90,8.00,1,22137,31.90,
2022-02-11,43764,,,7,4,11,,5.00,,22137,29.49,
2022-02-11,22204,4.00,65.60,7,4,11,16.40,3.00,,22137,16.40,
2022-02-11,103386,,,7,4,11,,1.00,,22285,55.00,
2022-02-12,22204,8.00,131.20,7,5,12,16.40,5.00,,22137,16.40,
2022-02-12,43764,3.00,109.50,7,5,12,36.50,2.00,,22137,29.49,
2022-02-12,43766,2.00,69.00,7,5,12,34.50,4.00,,22137,34.50,
2022-02-12,103386,2.00,110.00,7,5,12,55.00,-1.00,,22285,55.00,
2022-02-12,43765,2.00,63.80,7,5,12,31.90,18.00,1,22137,31.90,
2022-02-13,43764,,,7,6,13,,2.00,,22137,29.49,
2022-02-13,43765,2.00,63.80,7,6,13,31.90,16.00,1,22137,31.90,
2022-02-13,103386,,,7,6,13,,-1.00,,22285,55.00,
2022-02-13,22204,5.00,82.00,7,6,13,16.40,,,22137,16.40,
2022-02-13,43766,2.00,67.04,7,6,13,33.52,2.00,,22137,34.50,
2022-02-14,43766,,,8,,14,,2.00,,22137,34.50,
2022-02-14,103386,1.00,55.00,8,,14,55.00,-2.00,,22285,55.00,
2022-02-14,22204,3.00,49.20,8,,14,16.40,7.00,,22137,16.40,
2022-02-14,43764,,,8,,14,,2.00,,22137,29.49,
2022-02-14,43765,2.00,63.73,8,,14,31.87,20.00,1,22137,31.90,
2022-02-15,43764,1.00,36.50,8,1,15,36.50,1.00,,22137,29.49,
2022-02-15,22204,2.00,32.80,8,1,15,16.40,10.00,,22137,16.40,
2022-02-15,43765,5.00,159.50,8,1,15,31.90,15.00,1,22137,31.90,
2022-02-15,43766,1.00,34.50,8,1,15,34.50,1.00,,22137,34.50,
2022-02-15,103386,1.00,55.00,8,1,15,55.00,7.00,,22285,55.00,
2022-02-16,43764,1.00,36.50,8,2,16,36.50,3.00,,22137,29.49,
2022-02-16,43765,2.00,63.80,8,2,16,31.90,13.00,1,22137,31.90,
2022-02-16,22204,4.00,65.60,8,2,16,16.40,11.00,,22137,16.40,
2022-02-16,43766,2.00,69.00,8,2,16,34.50,2.00,,22137,34.50,
2022-02-16,103386,3.00,165.00,8,2,16,55.00,4.00,,22285,55.00,
2022-02-17,43764,1.00,36.50,8,3,17,36.50,5.00,,22137,29.49,
2022-02-17,103386,3.00,165.00,8,3,17,55.00,1.00,,22285,55.00,
2022-02-17,22204,5.00,81.10,8,3,17,16.22,11.00,,22137,16.40,
2022-02-17,43765,5.00,157.09,8,3,17,31.42,8.00,1,22137,31.90,
2022-02-17,43766,3.00,103.50,8,3,17,34.50,2.00,,22137,34.50,
2022-02-18,22204,2.00,31.78,8,4,18,15.89,13.00,,22137,16.40,
2022-02-18,43766,,,8,4,18,,2.00,,22137,34.50,
2022-02-18,103386,1.00,55.00,8,4,18,55.00,6.00,,22285,55.00,
2022-02-18,43765,1.00,31.90,8,4,18,31.90,7.00,1,22137,31.90,
2022-02-18,43764,1.00,36.50,8,4,18,36.50,4.00,,22137,29.49,
2022-02-19,22204,4.00,65.60,8,5,19,16.40,14.00,,22137,16.40,
2022-02-19,43764,,,8,5,19,,4.00,,22137,29.49,
2022-02-19,43766,2.00,69.00,8,5,19,34.50,4.00,,22137,34.50,
2022-02-19,103386,1.00,55.00,8,5,19,55.00,5.00,,22285,55.00,
2022-02-19,43765,2.00,63.80,8,5,19,31.90,17.00,1,22137,31.90,
2022-02-20,43765,4.00,127.58,8,6,20,31.90,13.00,1,22137,31.90,
2022-02-20,43764,1.00,36.50,8,6,20,36.50,3.00,,22137,29.49,
2022-02-20,22204,8.00,125.93,8,6,20,15.74,6.00,,22137,16.40,
2022-02-20,43766,3.00,103.50,8,6,20,34.50,1.00,,22137,34.50,
2022-02-20,103386,3.00,165.00,8,6,20,55.00,2.00,,22285,55.00,
2022-02-21,22204,4.00,65.60,9,,21,16.40,7.00,,22137,16.40,
2022-02-21,43765,5.00,140.52,9,,21,28.10,14.00,1,22137,31.90,
2022-02-21,43766,3.00,103.50,9,,21,34.50,1.00,,22137,34.50,
2022-02-21,43764,1.00,36.50,9,,21,36.50,5.00,,22137,29.49,
2022-02-21,103386,1.00,55.00,9,,21,55.00,11.00,,22285,55.00,
2022-02-22,22204,2.00,32.80,9,1,22,16.40,15.00,,22137,16.40,
2022-02-22,43766,,,9,1,22,,1.00,,22137,34.50,
2022-02-22,103386,6.00,330.00,9,1,22,55.00,5.00,,22285,55.00,
2022-02-22,43765,3.00,95.70,9,1,22,31.90,14.00,1,22137,31.90,
2022-02-22,43764,1.00,36.50,9,1,22,36.50,4.00,,22137,29.49,
2022-02-23,43765,2.00,63.80,9,2,23,31.90,12.00,1,22137,31.90,
2022-02-23,22204,9.00,147.60,9,2,23,16.40,12.00,,22137,16.40,
2022-02-23,43766,4.00,138.00,9,2,23,34.50,3.00,,22137,34.50,
2022-02-23,103386,3.00,165.00,9,2,23,55.00,2.00,,22285,55.00,
2022-02-23,43764,1.00,36.50,9,2,23,36.50,3.00,,22137,29.49,
2022-02-24,43764,3.00,109.50,9,3,24,36.50,,,22137,29.49,
2022-02-24,22204,6.00,99.90,9,3,24,16.65,6.00,,22137,16.70,
2022-02-24,43766,3.00,106.70,9,3,24,35.57,,,22137,36.10,
2022-02-24,103386,9.00,495.00,9,3,24,55.00,3.00,,22285,55.00,
2022-02-24,43765,11.00,350.90,9,3,24,31.90,1.00,,22137,31.90,
2022-02-25,43765,1.00,39.70,9,4,25,39.70,,,22137,31.90,
2022-02-25,103386,1.00,60.90,9,4,25,60.90,7.00,,22285,60.90,
2022-02-25,22204,9.00,150.26,9,4,25,16.70,11.00,,22137,16.70,
2022-02-25,43766,3.00,108.30,9,4,25,36.10,3.00,,22137,36.10,
2022-02-25,43764,,,9,4,25,,6.00,,22137,38.30,
2022-02-26,22204,10.00,165.83,9,5,26,16.58,15.00,,22137,16.70,
2022-02-26,43765,3.00,119.10,9,5,26,39.70,9.00,,22137,31.90,
2022-02-26,103386,1.00,60.90,9,5,26,60.90,21.00,,22285,60.90,
2022-02-26,43764,3.00,114.90,9,5,26,38.30,15.00,,22137,38.30,
2022-02-26,43766,5.00,180.50,9,5,26,36.10,10.00,,22137,36.10,
2022-02-27,43766,2.00,72.20,9,6,27,36.10,8.00,,22137,36.10,
2022-02-27,103386,2.00,120.88,9,6,27,60.44,19.00,,22285,60.90,
2022-02-27,22204,3.00,50.10,9,6,27,16.70,12.00,,22137,16.70,
2022-02-27,43764,1.00,38.30,9,6,27,38.30,14.00,,22137,38.30,
2022-02-27,43765,3.00,119.10,9,6,27,39.70,6.00,,22137,31.90,
2022-02-28,22204,4.00,66.80,10,,28,16.70,16.00,,22137,16.70,
