InvoiceDate,StockCode,Quantity,UnitPrice,Week,Weekday,Day,TotalPrice,Ost,Action,Category,Price,Discount
2022-01-01,2593,,,1,5,1,,5.00,,25673,37.90,
2022-01-01,25725,,,1,5,1,,8.00,,25673,15.20,
2022-01-01,68468,,,1,5,1,,4.00,,25673,33.40,
2022-01-01,3357,,,1,5,1,,11.00,,25673,15.90,
2022-01-01,101209,,,1,5,1,,17.00,,25673,47.30,
2022-01-02,25725,2.00,30.40,1,6,2,15.20,6.00,,25673,15.20,
2022-01-02,68468,,,1,6,2,,4.00,,25673,33.40,
2022-01-02,3357,,,1,6,2,,11.00,,25673,15.90,
2022-01-02,101209,,,1,6,2,,17.00,,25673,47.30,
2022-01-02,2593,,,1,6,2,,5.00,,25673,37.90,
2022-01-03,3357,,,2,,3,,11.00,,25673,15.90,
2022-01-03,25725,,,2,,3,,6.00,,25673,15.20,
2022-01-03,68468,1.00,33.40,2,,3,33.40,3.00,,25673,33.40,
2022-01-03,101209,,,2,,3,,17.00,,25673,47.30,
2022-01-03,2593,,,2,,3,,5.00,,25673,37.90,
2022-01-04,2593,,,2,1,4,,11.00,,25673,37.90,
2022-01-04,25725,,,2,1,4,,6.00,,25673,15.20,
2022-01-04,68468,,,2,1,4,,9.00,,25673,33.40,
2022-01-04,3357,1.00,15.90,2,1,4,15.90,10.00,,25673,15.90,
2022-01-04,101209,,,2,1,4,,17.00,,25673,47.30,
2022-01-05,3357,2.00,31.80,2,2,5,15.90,8.00,,25673,15.90,
2022-01-05,25725,,,2,2,5,,6.00,,25673,15.20,
2022-01-05,68468,,,2,2,5,,9.00,,25673,33.40,
2022-01-05,101209,,,2,2,5,,17.00,,25673,47.30,
2022-01-05,2593,,,2,2,5,,11.00,,25673,37.90,
2022-01-06,2593,,,2,3,6,,11.00,,25673,37.90,
2022-01-06,25725,,,2,3,6,,6.00,,25673,15.20,
2022-01-06,68468,,,2,3,6,,9.00,,25673,33.40,
2022-01-06,101209,,,2,3,6,,17.00,,25673,47.30,
2022-01-06,3357,,,2,3,6,,8.00,,25673,15.90,
2022-01-07,3357,,,2,4,7,,8.00,,25673,15.90,
2022-01-07,101209,,,2,4,7,,17.00,,25673,47.30,
2022-01-07,25725,,,2,4,7,,6.00,,25673,15.20,
2022-01-07,68468,2.00,66.80,2,4,7,33.40,7.00,,25673,33.40,
2022-01-07,2593,1.00,37.90,2,4,7,37.90,10.00,,25673,37.90,
2022-01-08,2593,,,2,5,8,,10.00,,25673,37.90,
2022-01-08,3357,,,2,5,8,,8.00,,25673,15.90,
