Дата,ПодрКод,НомКод,Кіл_сть,СумаПродажу,ЦінаПродажу
04.06.2023 0:00,34,25 911,0,0,0
17.07.2023 0:00,34,107 160,0,0,0
24.05.2023 0:00,34,98 466,3,"55,8","18,6"
29.04.2023 0:00,34,25 912,1,"34,9","34,9"
09.08.2023 0:00,34,61 243,1,"29,6","29,6"
12.05.2023 0:00,34,25 926,0,0,0
06.07.2023 0:00,34,67 524,2,"52,94","26,47"
24.06.2023 0:00,34,61 166,0,0,0
05.04.2023 0:00,34,61 256,2,"101,2","50,6"
12.07.2023 0:00,34,25 896,0,0,0
17.05.2023 0:00,34,31 301,0,0,0
18.09.2023 0:00,34,59 565,4,"211,6","52,9"
27.07.2023 0:00,34,27 289,0,0,0
07.08.2023 0:00,34,25 879,8,"188,8","23,6"
26.06.2023 0:00,34,70 117,6,"143,4","23,9"
29.09.2023 0:00,34,52 960,6,"149,94","24,99"
21.06.2023 0:00,34,26 083,0,0,0
10.06.2023 0:00,34,32 347,0,0,0
25.04.2023 0:00,34,25 741,7,"345,1","49,3"
16.05.2023 0:00,34,25 933,0,0,0
26.07.2023 0:00,34,61 162,0,0,0
23.05.2023 0:00,34,69 088,0,0,0
25.08.2023 0:00,34,25 878,0,0,0
31.05.2023 0:00,34,31 369,0,0,0
01.07.2023 0:00,34,33 221,8,220,"27,5"
09.07.2023 0:00,34,25 589,3,"178,5","59,5"
23.06.2023 0:00,34,98 529,0,0,0
24.07.2023 0:00,34,98 318,0,0,0
31.10.2023 0:00,34,52 959,0,0,0
30.08.2023 0:00,34,25 725,0,0,0
25.05.2023 0:00,34,61 278,0,0,0
28.04.2023 0:00,34,66 473,5,"196,5","39,3"
28.06.2023 0:00,34,67 945,2,"159,6","79,8"
13.07.2023 0:00,34,33 224,0,0,0
09.09.2023 0:00,34,53 487,5,"219,5","43,9"
09.07.2023 0:00,34,67 520,0,0,0
10.10.2023 0:00,34,97 785,0,0,0
17.10.2023 0:00,34,25 606,0,0,0
08.08.2023 0:00,34,29 813,0,0,0
29.09.2023 0:00,34,61 277,0,0,0
12.05.2023 0:00,34,48 862,0,0,0
09.06.2023 0:00,34,25 913,0,0,0
18.05.2023 0:00,34,3 357,2,42,21
15.09.2023 0:00,34,59 565,0,0,0
27.07.2023 0:00,34,67 948,1,"54,6","54,6"
24.07.2023 0:00,34,31 320,0,0,0
22.06.2023 0:00,34,25 606,1,"32,7","32,7"
04.06.2023 0:00,34,50 588,0,0,0
01.05.2023 0:00,34,25 923,4,"134,8","33,7"
04.06.2023 0:00,34,61 277,0,0,0
11.10.2023 0:00,34,59 931,0,0,0
23.10.2023 0:00,34,62 788,0,0,0
10.05.2023 0:00,34,52 855,0,0,0
27.07.2023 0:00,34,52 615,3,"103,5","34,5"
01.04.2023 0:00,34,67 948,0,0,0
20.10.2023 0:00,34,25 767,5,266,"53,2"
12.05.2023 0:00,34,61 255,3,198,66
28.08.2023 0:00,34,3 378,0,0,0
28.07.2023 0:00,34,37 270,1,"26,2","26,2"
12.10.2023 0:00,34,25 617,0,0,0
16.08.2023 0:00,34,61 618,0,0,0
06.08.2023 0:00,34,25 879,0,0,0
31.07.2023 0:00,34,47 369,3,120,40
23.04.2023 0:00,34,29 099,6,126,21
02.06.2023 0:00,34,25 607,0,0,0
28.08.2023 0:00,34,107 752,2,"53,98","26,99"
26.10.2023 0:00,34,33 221,0,0,0
19.05.2023 0:00,34,47 372,0,0,0
06.09.2023 0:00,34,101 209,1,67,67
21.09.2023 0:00,34,52 425,1,"30,2","30,2"
26.07.2023 0:00,34,31 745,0,0,0
05.04.2023 0:00,34,34 689,0,0,0
14.07.2023 0:00,34,48 860,0,0,0
10.10.2023 0:00,34,68 132,3,"76,5","25,5"
18.10.2023 0:00,34,98 529,0,0,0
08.10.2023 0:00,34,2 501,0,0,0
27.07.2023 0:00,34,25 606,0,0,0
09.05.2023 0:00,34,25 882,1,"27,2","27,2"
20.08.2023 0:00,34,62 806,0,0,0
24.04.2023 0:00,34,25 897,0,0,0
05.06.2023 0:00,34,32 615,0,0,0
28.05.2023 0:00,34,61 126,7,"422,1","60,3"
02.08.2023 0:00,34,62 788,0,0,0
30.07.2023 0:00,34,25 620,0,0,0
10.07.2023 0:00,34,25 589,1,"59,5","59,5"
01.06.2023 0:00,34,31 369,0,0,0
23.07.2023 0:00,34,52 990,2,"65,4","32,7"
14.04.2023 0:00,34,25 902,1,"47,4","47,4"
24.07.2023 0:00,34,31 743,0,0,0
28.07.2023 0:00,34,61 615,0,0,0
20.08.2023 0:00,34,25 928,3,"78,6","26,2"
24.05.2023 0:00,34,69 088,0,0,0
29.06.2023 0:00,34,25 931,7,"219,8","31,4"
12.09.2023 0:00,34,31 301,1,"27,99","27,99"
29.05.2023 0:00,34,25 928,1,"25,4","25,4"
31.07.2023 0:00,34,37 270,0,0,0
04.06.2023 0:00,34,32 615,0,0,0
27.09.2023 0:00,34,25 607,1,"32,7","32,7"
06.10.2023 0:00,34,25 913,1,"29,9","29,9"
17.06.2023 0:00,34,25 617,0,0,0
23.10.2023 0:00,34,37 270,1,"26,2","26,2"
21.09.2023 0:00,34,25 936,0,0,0
04.06.2023 0:00,34,25 592,0,0,0
12.09.2023 0:00,34,48 861,0,0,0
15.05.2023 0:00,34,32 348,2,"34,5","17,25"
23.07.2023 0:00,34,67 245,0,0,0
01.05.2023 0:00,34,27 893,0,0,0
06.06.2023 0:00,34,25 912,0,0,0
18.10.2023 0:00,34,34 674,0,0,0
13.08.2023 0:00,34,25 591,1,"59,5","59,5"
28.08.2023 0:00,34,32 347,0,0,0
26.08.2023 0:00,34,25 602,2,"94,4","47,2"
22.09.2023 0:00,34,67 233,0,0,0
22.07.2023 0:00,34,25 617,0,0,0
28.04.2023 0:00,34,25 741,4,"197,2","49,3"
18.06.2023 0:00,34,97 786,0,0,0
23.06.2023 0:00,34,25 687,7,"209,3","29,9"
09.04.2023 0:00,34,25 762,0,0,0
16.09.2023 0:00,34,61 243,0,0,0
07.10.2023 0:00,34,3 378,0,0,0
22.04.2023 0:00,34,25 589,1,"59,5","59,5"
06.10.2023 0:00,34,25 602,0,0,0
21.04.2023 0:00,34,67 811,0,0,0
07.06.2023 0:00,34,25 878,0,0,0
20.10.2023 0:00,34,62 788,0,0,0
03.08.2023 0:00,34,25 933,0,0,0
20.05.2023 0:00,34,25 879,3,"81,6","27,2"
09.05.2023 0:00,34,52 615,1,"34,5","34,5"
11.05.2023 0:00,34,44 422,2,"62,2","31,1"
08.08.2023 0:00,34,33 221,0,0,0
02.08.2023 0:00,34,53 487,5,"219,5","43,9"
13.04.2023 0:00,34,95 548,1,"44,3","44,3"
09.09.2023 0:00,34,25 606,0,0,0
30.10.2023 0:00,34,67 524,5,"174,95","34,99"
10.04.2023 0:00,34,25 906,0,0,0
31.10.2023 0:00,34,25 591,0,0,0
15.05.2023 0:00,34,31 370,0,0,0
02.06.2023 0:00,34,25 589,0,0,0
19.06.2023 0:00,34,101 209,1,65,65
04.07.2023 0:00,34,52 425,4,"120,8","30,2"
09.09.2023 0:00,34,61 255,6,"345,81","57,635"
03.05.2023 0:00,34,25 910,0,0,0
26.10.2023 0:00,34,29 813,0,0,0
17.05.2023 0:00,34,32 282,0,0,0
08.10.2023 0:00,34,25 899,0,0,0
20.09.2023 0:00,34,98 466,5,93,"18,6"
09.05.2023 0:00,34,67 948,0,0,0
30.04.2023 0:00,34,2 501,0,0,0
30.07.2023 0:00,34,61 255,7,"405,3","57,9"
10.08.2023 0:00,34,98 466,1,"18,6","18,6"
28.08.2023 0:00,34,67 360,2,"75,98","37,99"
29.10.2023 0:00,34,25 764,1,"56,9","56,9"
13.05.2023 0:00,34,34 688,0,0,0
31.08.2023 0:00,34,25 924,2,"119,4","59,7"
17.10.2023 0:00,34,25 687,1,"30,2","30,2"
05.05.2023 0:00,34,52 990,2,"65,4","32,7"
25.06.2023 0:00,34,31 301,0,0,0
16.08.2023 0:00,34,25 928,0,0,0
06.10.2023 0:00,34,48 868,0,0,0
30.10.2023 0:00,34,62 806,2,"82,6","41,3"
21.04.2023 0:00,34,25 896,0,0,0
28.05.2023 0:00,34,25 911,0,0,0
01.04.2023 0:00,34,47 369,0,0,0
17.05.2023 0:00,34,25 801,0,0,0
30.07.2023 0:00,34,25 606,2,"65,4","32,7"
06.10.2023 0:00,34,32 356,0,0,0
16.04.2023 0:00,34,61 278,0,0,0
21.07.2023 0:00,34,2 501,0,0,0
29.10.2023 0:00,34,33 221,0,0,0
10.06.2023 0:00,34,48 845,0,0,0
26.06.2023 0:00,34,61 256,0,0,0
04.04.2023 0:00,34,31 373,0,0,0
09.06.2023 0:00,34,61 117,0,0,0
13.06.2023 0:00,34,25 894,3,93,31
