InvoiceDate,StockCode,Quantity,UnitPrice,Week,Weekday,Day,TotalPrice,Номенклатура,Ost,QuantityChecks,Action
2023-10-01,69087,,,40,6,1,,32.20,20.00,,
2023-10-01,70117,,,40,6,1,,29.90,3.00,,1
2023-10-01,31299,,,40,6,1,,40.00,18.00,,
2023-10-01,31301,,,40,6,1,,40.00,9.00,,
2023-10-01,29099,5.00,104.00,40,6,1,20.80,21.00,25.00,,
2023-10-01,44424,,,40,6,1,,49.00,11.00,,
2023-10-01,48861,,,40,6,1,,24.99,21.00,,1
2023-10-01,48868,1.00,35.99,40,6,1,35.99,35.99,14.00,,1
2023-10-01,52960,1.00,24.99,40,6,1,24.99,24.99,27.00,,1
2023-10-01,53605,1.00,36.30,40,6,1,36.30,36.30,16.00,,1
2023-10-01,97135,,,40,6,1,,37.60,10.00,,
2023-10-01,62788,,,40,6,1,,31.40,14.00,,
2023-10-01,37376,,,40,6,1,,34.00,1.00,,
2023-10-01,61279,2.00,54.20,40,6,1,27.10,27.10,5.00,,
2023-10-01,61277,,,40,6,1,,48.90,8.00,,
2023-10-01,32347,,,40,6,1,,51.00,12.00,,
2023-10-01,31745,2.00,86.60,40,6,1,43.30,43.30,9.00,,
2023-10-01,31321,4.00,125.60,40,6,1,31.40,31.40,22.00,,
2023-10-01,27289,,,40,6,1,,81.60,5.00,,
2023-10-01,27286,,,40,6,1,,96.30,4.00,,
2023-10-01,3378,,,40,6,1,,28.40,16.00,,
2023-10-01,61243,,,40,6,1,,29.60,4.00,,
2023-10-01,61250,6.00,157.20,40,6,1,26.20,26.20,40.00,,
2023-10-01,25936,,,40,6,1,,34.90,6.00,,
2023-10-01,25933,,,40,6,1,,31.50,10.00,,
2023-10-01,25930,16.00,951.25,40,6,1,59.45,73.90,14.00,,
2023-10-01,25923,,,40,6,1,,34.70,13.00,,
2023-10-01,25913,4.00,119.60,40,6,1,29.90,29.90,5.00,,1
2023-10-01,25902,1.00,42.70,40,6,1,42.70,49.80,17.00,,
2023-10-01,25877,,,40,6,1,,29.70,9.00,,
2023-10-01,25767,7.00,270.13,40,6,1,38.59,40.99,37.00,,1
2023-10-01,25764,1.00,66.90,40,6,1,66.90,66.90,7.00,,
2023-10-01,25619,,,40,6,1,,27.00,4.00,,
2023-10-01,67948,1.00,39.99,40,6,1,39.99,39.99,23.00,,1
2023-10-01,48845,,,40,6,1,,25.80,8.00,,
2023-10-01,52615,1.00,34.50,40,6,1,34.50,34.50,6.00,,1
