InvoiceDate,StockCode,Quantity,UnitPrice,Week,Weekday,Day,TotalPrice,Ost,Action,Category,Price,Discount
2023-02-01,161,2.00,63.40,6,2,1,31.70,1.00,,21768,26.90,
2023-02-01,22437,10.00,321.00,6,2,1,32.10,6.00,,103329,32.10,
2023-02-01,23243,1.00,36.70,6,2,1,36.70,17.00,,23131,36.70,
2023-02-01,33453,1.00,30.99,6,2,1,30.99,8.00,1,23131,30.99,4.61
2023-02-01,102267,3.00,95.10,6,2,1,31.70,11.00,,21768,31.70,
2023-02-01,102270,3.00,84.60,6,2,1,28.20,12.00,,21768,28.20,
2023-02-01,44213,6.00,222.00,6,2,1,37.00,-1.00,,103329,37.00,
2023-02-01,21999,2.00,63.40,6,2,1,31.70,-1.00,,21768,26.90,
2023-02-01,106122,11.00,368.39,6,2,1,33.49,8.00,1,103329,33.49,3.81
2023-02-02,161,,,6,3,2,,1.00,,21768,26.90,
2023-02-02,22437,10.00,321.00,6,3,2,32.10,11.00,,103329,32.10,
2023-02-02,102267,,,6,3,2,,11.00,,21768,31.70,
2023-02-02,21999,,,6,3,2,,-1.00,,21768,26.90,
2023-02-02,33453,2.00,61.98,6,3,2,30.99,6.00,1,23131,30.99,
2023-02-02,102270,2.00,56.40,6,3,2,28.20,10.00,,21768,28.20,
2023-02-02,23243,1.00,36.70,6,3,2,36.70,16.00,,23131,36.70,
2023-02-02,44213,1.00,37.00,6,3,2,37.00,8.00,,103329,37.00,
2023-02-02,106122,4.00,133.96,6,3,2,33.49,10.00,1,103329,33.49,
2023-02-03,21999,1.00,31.70,6,4,3,31.70,7.00,,21768,26.90,
2023-02-03,33453,,,6,4,3,,6.00,1,23131,30.99,
2023-02-03,102270,1.00,28.20,6,4,3,28.20,9.00,,21768,28.20,
2023-02-03,44213,9.00,333.00,6,4,3,37.00,4.00,,103329,37.00,
2023-02-03,102267,,,6,4,3,,11.00,,21768,31.70,
2023-02-03,161,1.00,31.12,6,4,3,31.12,8.00,,21768,26.90,
2023-02-03,22437,10.00,321.00,6,4,3,32.10,11.00,,103329,32.10,
2023-02-03,106122,3.00,100.47,6,4,3,33.49,13.00,1,103329,33.49,
2023-02-03,23243,3.00,110.10,6,4,3,36.70,13.00,,23131,36.70,
2023-02-04,33453,2.00,61.98,6,5,4,30.99,4.00,1,23131,30.99,
2023-02-04,102270,1.00,28.20,6,5,4,28.20,8.00,,21768,28.20,
2023-02-04,161,3.00,95.10,6,5,4,31.70,5.00,,21768,26.90,
