InvoiceDate,StockCode,Quantity,UnitPrice,Week,Weekday,Day,TotalPrice,Ost,Action,Category,Price,Discount
2021-01-01,41170,,,1,4,1,,10.00,,41163,,
2021-01-01,41190,1.00,52.00,1,4,1,52.00,11.00,,41163,,
2021-01-01,41191,,,1,4,1,,21.00,,41163,,
2021-01-01,41193,,,1,4,1,,27.00,,41163,,
2021-01-01,41168,,,1,4,1,,17.00,,41163,,
2021-01-01,41169,1.00,57.00,1,4,1,57.00,6.00,,41163,,
2021-01-01,41177,,,1,4,1,,22.00,,41163,,
2021-01-01,41195,,,1,4,1,,12.00,,41163,,
2021-01-01,41197,2.00,96.00,1,4,1,48.00,1.00,,41163,,
2021-01-01,41202,3.00,144.00,1,4,1,48.00,4.00,,41163,,
2021-01-01,95631,,,1,4,1,,17.00,,41163,,
2021-01-01,2508,,,1,4,1,,10.00,,41163,,
2021-01-01,40930,,,1,4,1,,8.00,,41163,,
2021-01-01,41165,1.00,46.00,1,4,1,46.00,8.00,,41163,,
2021-01-01,41180,,,1,4,1,,2.00,,41163,,
2021-01-01,41201,,,1,4,1,,30.00,,41163,,
2021-01-01,97463,,,1,4,1,,29.00,,41163,,
2021-01-01,2507,,,1,4,1,,12.00,,41163,,
2021-01-01,41166,,,1,4,1,,4.00,,41163,,
2021-01-01,41174,1.00,57.50,1,4,1,57.50,6.00,,41163,,
2021-01-01,41175,1.00,56.50,1,4,1,56.50,23.00,,41163,,
2021-01-01,41176,,,1,4,1,,15.00,,41163,,
2021-01-01,41185,2.00,100.00,1,4,1,50.00,2.00,,41163,,
2021-01-01,41188,,,1,4,1,,3.00,,41163,,
2021-01-01,41194,,,1,4,1,,5.00,,41163,,
2021-01-01,65366,,,1,4,1,,2.00,,41163,,
2021-01-02,2508,,,1,5,2,,10.00,,41163,,
2021-01-02,41191,1.00,49.50,1,5,2,49.50,20.00,,41163,,
2021-01-02,41195,4.00,188.00,1,5,2,47.00,8.00,,41163,,
2021-01-02,41169,6.00,342.00,1,5,2,57.00,,,41163,,
2021-01-02,41177,,,1,5,2,,22.00,,41163,,
2021-01-02,41185,,,1,5,2,,2.00,,41163,,
2021-01-02,41188,,,1,5,2,,3.00,,41163,,
2021-01-02,41197,,,1,5,2,,1.00,,41163,,
2021-01-02,41202,4.00,192.00,1,5,2,48.00,,,41163,,
2021-01-02,65366,,,1,5,2,,2.00,,41163,,
2021-01-02,41170,,,1,5,2,,10.00,,41163,,
2021-01-02,41180,,,1,5,2,,2.00,,41163,,
2021-01-02,41190,1.00,52.00,1,5,2,52.00,10.00,,41163,,
2021-01-02,41193,,,1,5,2,,27.00,,41163,,
2021-01-02,41194,3.00,147.00,1,5,2,49.00,2.00,,41163,,
2021-01-02,41201,,,1,5,2,,30.00,,41163,,
2021-01-02,97463,,,1,5,2,,29.00,,41163,,
2021-01-02,2507,,,1,5,2,,12.00,,41163,,
2021-01-02,40930,,,1,5,2,,8.00,,41163,,
2021-01-02,41165,,,1,5,2,,8.00,,41163,,
2021-01-02,41166,1.00,45.00,1,5,2,45.00,3.00,,41163,,
2021-01-02,41168,,,1,5,2,,17.00,,41163,,
2021-01-02,41174,2.00,115.00,1,5,2,57.50,4.00,,41163,,
2021-01-02,41175,,,1,5,2,,23.00,,41163,,
2021-01-02,41176,,,1,5,2,,15.00,,41163,,
2021-01-02,95631,,,1,5,2,,17.00,,41163,,
2021-01-03,41177,1.00,56.80,1,6,3,56.80,21.00,,41163,,
2021-01-03,41188,1.00,50.50,1,6,3,50.50,2.00,,41163,,
2021-01-03,41197,,,1,6,3,,1.00,,41163,,
2021-01-03,97463,,,1,6,3,,29.00,,41163,,
2021-01-03,2508,,,1,6,3,,10.00,,41163,,
2021-01-03,40930,,,1,6,3,,8.00,,41163,,
2021-01-03,41165,2.00,92.00,1,6,3,46.00,6.00,,41163,,
2021-01-03,41166,2.00,90.00,1,6,3,45.00,1.00,,41163,,
2021-01-03,41176,,,1,6,3,,15.00,,41163,,
2021-01-03,41180,1.00,57.00,1,6,3,57.00,1.00,,41163,,
2021-01-03,41185,1.00,50.00,1,6,3,50.00,1.00,,41163,,
2021-01-03,41191,,,1,6,3,,20.00,,41163,,
2021-01-03,41194,1.00,49.00,1,6,3,49.00,1.00,,41163,,
2021-01-03,65366,1.00,55.00,1,6,3,55.00,1.00,,41163,,
2021-01-03,2507,,,1,6,3,,12.00,,41163,,
2021-01-03,41168,,,1,6,3,,17.00,,41163,,
2021-01-03,41170,,,1,6,3,,10.00,,41163,,
2021-01-03,41174,,,1,6,3,,4.00,,41163,,
2021-01-03,41175,2.00,113.00,1,6,3,56.50,21.00,,41163,,
2021-01-03,41190,1.00,52.00,1,6,3,52.00,9.00,,41163,,
2021-01-03,41193,,,1,6,3,,27.00,,41163,,
2021-01-03,95631,,,1,6,3,,17.00,,41163,,
2021-01-03,41195,2.00,94.00,1,6,3,47.00,6.00,,41163,,
2021-01-03,41201,,,1,6,3,,30.00,,41163,,
2021-01-04,41168,,,2,,4,,17.00,,41163,,
2021-01-04,41177,2.00,113.60,2,,4,56.80,18.00,,41163,,
2021-01-04,41197,,,2,,4,,1.00,,41163,,
