InvoiceDate,StockCode,Quantity,UnitPrice,Week,Weekday,Day,TotalPrice,Ost,Action,Category,Price,Discount
2023-11-01,822,,,45,2,1,,10.00,,41163,86.90,
2023-11-01,2507,,,45,2,1,,6.00,,41163,84.90,
2023-11-01,2508,,,45,2,1,,8.00,,41163,91.90,
2023-11-01,19681,,,45,2,1,,20.00,,41163,104.90,
2023-11-01,40894,1.00,104.90,45,2,1,104.90,17.00,,41163,104.90,
2023-11-01,40916,,,45,2,1,,15.00,,41163,104.90,
2023-11-01,40920,,,45,2,1,,14.00,,41163,94.90,
2023-11-01,40921,,,45,2,1,,13.00,,41163,91.90,
2023-11-01,40930,,,45,2,1,,8.00,,41163,71.90,
2023-11-01,41165,,,45,2,1,,7.00,,41163,78.90,
2023-11-01,41166,1.00,78.90,45,2,1,78.90,12.00,,41163,78.90,
2023-11-01,41168,2.00,189.80,45,2,1,94.90,25.00,,41163,94.90,
2023-11-01,41169,4.00,383.60,45,2,1,95.90,19.00,,41163,95.90,
2023-11-01,41170,,,45,2,1,,19.00,,41163,99.90,
2023-11-01,41174,1.00,91.90,45,2,1,91.90,21.00,,41163,91.90,
2023-11-01,41175,2.00,183.80,45,2,1,91.90,25.00,,41163,91.90,
2023-11-01,41176,,,45,2,1,,30.00,,41163,94.90,
2023-11-01,41177,1.00,94.90,45,2,1,94.90,24.00,,41163,94.90,
2023-11-01,41180,,,45,2,1,,11.00,,41163,91.90,
2023-11-01,41185,,,45,2,1,,14.00,,41163,82.90,
2023-11-01,41186,1.00,89.90,45,2,1,89.90,10.00,,41163,89.90,
2023-11-01,41187,2.00,165.80,45,2,1,82.90,46.00,,41163,82.90,
2023-11-01,41188,,,45,2,1,,19.00,,41163,86.90,
2023-11-01,41189,,,45,2,1,,9.00,,41163,86.90,
2023-11-01,41190,,,45,2,1,,12.00,,41163,86.90,
2023-11-01,41191,,,45,2,1,,7.00,,41163,86.90,
2023-11-01,41192,1.00,82.90,45,2,1,82.90,28.00,,41163,82.90,
2023-11-01,41193,,,45,2,1,,14.00,,41163,82.90,
2023-11-01,41194,2.00,165.80,45,2,1,82.90,11.00,,41163,82.90,
2023-11-01,41195,,,45,2,1,,6.00,,41163,78.90,
2023-11-01,41197,,,45,2,1,,10.00,,41163,78.90,
2023-11-01,41201,,,45,2,1,,6.00,,41163,67.90,
2023-11-01,41202,,,45,2,1,,21.00,,41163,75.90,
